sk_id,com_cat_1,com_cat_2,com_cat_3,base_type,act,arpu_group,com_cat_7,com_cat_8,device_type_id,internet_type_id,revenue,itc,vas,rent_channel,roam,cost,com_cat_17,com_cat_18,com_cat_19,com_cat_20,com_cat_21,com_cat_22,com_cat_23,com_cat_25,com_cat_26,com_cat_27,com_cat_28,com_cat_29,com_cat_30,com_cat_31,com_cat_32,com_cat_33,com_cat_34
2,35,385,59,5,5,43.0,10,6590.0,25.0,10.0,0.640641,0.021637,0.420835,0.276434,0.0,0.023363,0.0,0.0,0.192033,3.525824,0.16357100000000002,3.522246,0.642542,5,4,0.016101999999999998,0.020697999999999998,0.000192,0.01122,0.147642,0.137895,0.51948,18.0
3,36,459,117,12,9,74.0,18,6763.0,45.0,18.0,1.202407,0.142137,0.9623839999999999,0.49549799999999994,0.0,0.065838,0.613484,0.0,0.23590800000000006,6.345428999999999,0.215857,6.323107,1.196042,9,8,0.079451,0.142137,0.008752,0.000627,0.104513,0.24821099999999996,0.935064,54.0
4,96,144,46,24,12,74.0,35,13228.0,36.0,36.0,1.4217349999999997,0.058004,1.0305680000000002,0.6604519999999999,0.0,0.05780099999999999,0.0,0.0,0.3145440000000001,8.419803,0.23157600000000003,8.419803,1.395294,12,12,0.168789,0.047666,0.0,0.0,0.472454,0.330948,1.246752,36.0
5,36,948,24,24,12,106.0,12,1320.0,60.0,24.0,1.5594080000000001,0.023996,1.0206549999999999,0.76541,0.0,0.061970000000000004,0.0,0.0,0.3145440000000001,8.46512,0.23157600000000003,8.46512,1.5663639999999999,12,12,0.044847000000000005,0.023996,0.855989,0.021993,0.616744,0.330948,1.246752,24.0
6,60,576,60,24,12,26.0,48,11244.0,36.0,36.0,1.3053639999999997,0.001237,1.0114150000000002,0.659805,0.0,0.050714999999999996,0.0,0.0,0.3145440000000001,8.384260000000001,0.23157600000000003,8.384260000000001,1.3174220000000003,12,12,0.021651000000000004,0.001237,0.0,0.0,0.14682099999999998,0.330948,1.246795,36.0
7,84,876,40,24,12,120.0,21,15596.0,60.0,16.0,1.614048,0.44757899999999995,1.014725,0.674782,0.0,0.09755600000000002,0.0,0.0,0.3145440000000001,8.456828,0.23157600000000003,8.456828,1.5371280000000003,12,12,0.384138,0.44360600000000006,0.118088,0.019102,0.5652659999999999,0.330948,1.249079,24.0
8,60,492,40,24,12,86.0,48,14928.0,36.0,36.0,1.472619,0.422984,1.012653,0.6601070000000001,0.0,0.09375800000000001,0.0,0.0,0.3145440000000001,8.409897999999998,0.23157600000000003,8.409897999999998,1.468407,12,12,0.095961,0.422126,0.0,0.0,0.280386,0.330948,1.246752,36.0
9,60,720,60,24,12,39.0,43,14620.0,60.0,22.0,1.3279379999999998,0.009201,1.0123330000000001,0.659681,0.0,0.051575,0.0,0.0,0.3145440000000001,8.391552,0.23157600000000003,8.391552,1.339534,12,12,0.025135,0.009201,5e-06,0.0,0.04614,0.330948,1.246752,120.0
10,12,360,60,24,12,143.0,64,13428.0,36.0,36.0,1.8736720000000002,1.03351,1.010496,0.663782,0.001365,0.15742799999999998,0.0,0.0,0.3145440000000001,8.502005,0.23157600000000003,8.502005,1.7446580000000003,12,12,0.6127360000000001,1.029161,0.0,0.0,1.238212,0.330948,1.249768,12.0
11,96,480,60,24,12,65.0,72,1704.0,60.0,12.0,1.417862,0.0,1.0100040000000001,0.661072,0.0,0.050594,0.0,0.0,0.3145440000000001,8.424018,0.23157600000000003,8.424018,1.435435,12,12,2.3000000000000003e-05,0.0,0.01337,0.0,0.001527,0.330948,1.246752,108.0
12,24,384,60,24,12,128.0,12,1535.0,60.0,24.0,1.649533,0.6097520000000001,1.028808,0.672437,0.0,0.11480699999999999,0.0,0.0,0.3145440000000001,8.45598,0.23157600000000003,8.45598,1.5363479999999998,12,12,0.5637369999999999,0.609723,0.037649,0.07457000000000001,0.6399940000000001,0.3424250000000001,1.251892,24.0
13,84,312,60,24,12,78.0,48,7704.0,36.0,12.0,1.444563,0.08457299999999998,1.0540559999999999,0.6605099999999999,0.0,0.062052,0.0,0.0,0.3145440000000001,8.424560999999999,0.23157600000000003,8.424560999999999,1.417231,12,12,0.196776,0.08445399999999999,0.0,0.0,0.32166100000000003,0.330948,1.246752,36.0
14,48,732,60,24,12,68.0,12,2862.0,76.0,26.0,1.397822,0.0069700000000000005,1.010118,0.6599309999999999,0.0,0.051221,0.0,0.0,0.3145440000000001,8.416467,0.23157600000000003,8.416467,1.4124220000000003,12,12,0.012802000000000001,0.0069700000000000005,0.0,0.0,0.33020399999999994,0.330948,1.246752,64.0
15,24,96,60,24,12,109.0,34,17544.0,60.0,24.0,1.5793750000000002,0.092364,1.142822,0.661703,0.0,0.06876399999999999,0.0,0.0,0.3145440000000001,8.466899,0.23157600000000003,8.466899,1.556405,12,12,0.175504,0.09128000000000001,0.019414,0.0,0.31797200000000003,0.330948,1.246752,108.0
16,24,384,60,24,12,95.0,48,4732.0,60.0,12.0,1.547161,0.096986,1.109909,0.664151,0.0,0.067268,0.0,0.0,0.3145440000000001,8.456699,0.23157600000000003,8.456699,1.551408,12,12,0.059822999999999994,0.096986,0.038659000000000006,0.0,0.11364799999999999,0.330948,1.246752,73.0
